date,dxy,gold_price,m2_money_supply,usdt_dominance
2015-10-17,108.9956,1183.5999755859375,12228.4,0.01123503377502
2015-10-18,108.9956,1183.5999755859375,12228.4,0.0115982327852536
2015-10-19,109.3858,1173.300048828125,12228.4,0.0114857071185986
2015-10-20,109.3368,1178.0,12228.4,0.0111904802517441
2015-10-21,109.7746,1167.5999755859375,12228.4,0.0113104440979822
2015-10-22,110.0342,1166.5999755859375,12228.4,0.0110094737717593
2015-10-23,110.4329,1163.300048828125,12228.4,0.0108801146959365
2015-10-24,110.4329,1163.300048828125,12228.4,0.010718006635278
2015-10-25,110.4329,1163.300048828125,12228.4,0.0106585290590687
2015-10-26,110.2089,1167.0,12228.4,0.0105531482487975
2015-10-27,110.4875,1166.800048828125,12228.4,0.0102439347715079
2015-10-28,110.2334,1177.0999755859375,12228.4,0.0099053653860879
2015-10-29,110.8083,1147.199951171875,12228.4,0.0096140241017473
2015-10-30,110.2079,1141.5,12228.4,0.0092086518317774
2015-10-31,110.2079,1141.5,12228.4,0.0097607336755973
2015-11-01,110.2079,1141.5,12322.7,0.0092734311309871
2015-11-02,110.2188,1135.800048828125,12322.7,0.0083593583353217
2015-11-03,110.244,1114.199951171875,12322.7,0.0074922499107506
2015-11-04,110.7139,1106.5,12322.7,0.0074250888125474
2015-11-05,110.8302,1104.4000244140625,12322.7,0.0078570622966331
2015-11-06,111.7603,1087.5999755859375,12322.7,0.0080828301825856
2015-11-07,111.7603,1087.5999755859375,12322.7,0.0078929833069781
2015-11-08,111.7603,1087.5999755859375,12322.7,0.0081078971055618
2015-11-09,111.9112,1087.9000244140625,12322.7,0.0079984359527361
2015-11-10,111.9919,1088.199951171875,12322.7,0.0089695510549601
2015-11-11,111.9919,1084.699951171875,12322.7,0.0097423089985019
2015-11-12,111.7965,1080.800048828125,12322.7,0.0089572358217909
2015-11-13,112.0264,1080.800048828125,12322.7,0.0089610053103141
2015-11-14,112.0264,1080.800048828125,12322.7,0.0090675009962771
2015-11-15,112.0264,1080.800048828125,12322.7,0.0094401274688378
2015-11-16,112.2199,1083.699951171875,12322.7,0.0091116090052486
2015-11-17,112.3141,1068.699951171875,12322.7,0.0089713490461143
2015-11-18,112.3663,1068.800048828125,12322.7,0.0089633331151153
2015-11-19,111.5749,1078.0,12322.7,0.0092302549404897
2015-11-20,111.7799,1076.4000244140625,12322.7,0.0093444247811112
2015-11-21,111.7799,1076.4000244140625,12322.7,0.0092168980262261
2015-11-22,111.7799,1076.4000244140625,12322.7,0.0092677078835201
2015-11-23,112.1125,1066.800048828125,12322.7,0.0092878977863517
2015-11-24,111.7638,1074.300048828125,12322.7,0.0093985829207387
2015-11-25,111.8936,1070.5,12322.7,0.00913716833542
2015-11-26,111.8936,1070.5,12322.7,0.0085141809737931
2015-11-27,112.2824,1056.199951171875,12322.7,0.0084212442334509
2015-11-28,112.2824,1056.199951171875,12322.7,0.0084277376958879
2015-11-29,112.2824,1056.199951171875,12322.7,0.0080831042727106
2015-11-30,112.34,1065.800048828125,12322.7,0.0079735992599033
2015-12-01,112.1134,1063.800048828125,12393.6,0.008273216081732
2015-12-02,112.3715,1054.199951171875,12393.6,0.0083675351025955
2015-12-03,111.6407,1061.699951171875,12393.6,0.0083082413579988
2015-12-04,111.5463,1084.5,12393.6,0.0082556184424783
2015-12-05,111.5463,1084.5,12393.6,0.007741258992519
2015-12-06,111.5463,1084.5,12393.6,0.0162714617948956
2015-12-07,112.3056,1076.4000244140625,12393.6,0.0159707395003095
2015-12-08,112.5485,1076.300048828125,12393.6,0.0151175645653837
2015-12-09,112.1918,1077.5999755859375,12393.6,0.015146475778681
2015-12-10,112.2672,1073.0999755859375,12393.6,0.015201004693119
2015-12-11,112.7147,1076.9000244140625,12393.6,0.0139451250855369
2015-12-12,112.7147,1076.9000244140625,12393.6,0.0144826406170421
2015-12-13,112.7147,1076.9000244140625,12393.6,0.0145575391873688
2015-12-14,112.7521,1064.699951171875,12393.6,0.0142223894331113
2015-12-15,112.8609,1062.9000244140625,12393.6,0.0135804758413229
2015-12-16,112.9864,1078.0,12393.6,0.0138353259677713
2015-12-17,113.8177,1050.800048828125,12393.6,0.0138281013461154
2015-12-18,113.2837,1066.199951171875,12393.6,0.0136400348787964
2015-12-19,113.2837,1066.199951171875,12393.6,0.0136641714451944
2015-12-20,113.2837,1066.199951171875,12393.6,0.0142271203049526
2015-12-21,113.4144,1081.9000244140625,12393.6,0.0143704462318587
2015-12-22,113.211,1074.800048828125,12393.6,0.0144549991399517
2015-12-23,113.1847,1069.4000244140625,12393.6,0.0142278931584265
2015-12-24,113.0496,1077.199951171875,12393.6,0.0138370484273036
2015-12-25,113.0496,1077.199951171875,12393.6,0.013818616579433
2015-12-26,113.0496,1077.199951171875,12393.6,0.0150734079129594
2015-12-27,113.0496,1077.199951171875,12393.6,0.0148892527362256
2015-12-28,113.0461,1070.5,12393.6,0.0148921599796231
2015-12-29,113.1664,1077.5,12393.6,0.0145401793652788
2015-12-30,113.4707,1060.0999755859375,12393.6,0.014740540488494
2015-12-31,113.3429,1060.300048828125,12393.6,0.014572433331487
2016-01-01,113.3429,1060.300048828125,12522.2,0.0144731718206846
2016-01-02,113.3429,1060.300048828125,12522.2,0.0144806540740112
2016-01-03,113.3429,1060.300048828125,12522.2,0.0145401054413431
2016-01-04,114.1595,1075.0999755859375,12522.2,0.0144339355930144
2016-01-05,114.2649,1078.4000244140625,12522.2,0.0144949170384396
2016-01-06,114.6177,1091.9000244140625,12522.2,0.0145929590745987
2016-01-07,114.6516,1107.699951171875,12522.2,0.0137203193269362
2016-01-08,115.0095,1097.800048828125,12522.2,0.0138469110371799
