Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2023-06-09,26488.6089619127,3250179.3880148907,5258.5559410500355,-6302.8210915848285,-778.6883477261778
2023-06-10,25862.0063908444,3249478.100807568,5258.117626728697,-6274.050914382507,-758.8230122443856
2023-06-11,25917.1977344574,3244000.67608432,5110.996931463452,-6426.562981490339,-763.9510892907123
2023-06-12,25898.4229819551,3249384.205231611,5287.055325790551,-6154.281695996313,-727.1657109542839
2023-06-13,25897.1535855588,3252340.307087778,5291.104068149843,-5956.908556597228,-701.0539196973799
2023-06-14,25122.9625600642,3255328.2518855007,5697.724672043863,-5795.679208080074,-658.7649448709352
2023-06-15,25565.9134167308,3251462.246533348,5730.3589797822715,-6323.650236892735,-690.5985987005873
2023-06-16,26322.8639661297,3246748.7318418324,5622.749130978785,-6478.788617049889,-722.5091320203098
2023-06-17,26517.5945490646,3247804.6552831694,5527.588481564201,-6267.430439141232,-764.9266881206228
2023-06-18,26325.8901810201,3245785.06422632,5277.576014895251,-6069.467912423814,-816.339873758153
2023-06-19,26783.2471969441,3245149.709019041,5282.858656652235,-5965.581441497566,-842.7255521997048
2023-06-20,28363.1350283142,3239618.596410221,5333.960550146755,-6228.375989923725,-871.2263414579628
2023-06-21,30038.5197092391,3232670.31306724,5384.368478960301,-6676.035112284141,-865.0172293438608
2023-06-22,29915.4403051216,3221976.826963611,5261.677455352281,-7139.072053363204,-909.5724240820804
2023-06-23,30622.9336472913,3222068.7599199475,5339.449051612129,-7096.0884793329915,-960.4563010239424
2023-06-24,30542.4242516921,3217279.6270664283,5197.425954185988,-7160.364943626791,-1028.0995654372991
2023-06-25,30464.3768442492,3222931.271296109,5352.293371124926,-6821.660145957669,-1039.0853314948604
2023-06-26,30286.0199271532,3226730.846913849,5438.575777043266,-6528.213059037821,-1054.9718251940599
2023-06-27,30725.4543534843,3227807.553822968,5365.19723417038,-6351.678236757303,-1077.8772904897412
