time,asset,CapMVRVCur,SplyCur
2016-01-21,btc,1.34524409,15109136.13365142
2016-01-22,btc,1.25973209,15113536.13364037
2016-01-23,btc,1.27705234,15118011.13364031
2016-01-24,btc,1.33208711,15122286.13364025
2016-01-25,btc,1.29373682,15126336.13363995
2016-01-26,btc,1.29079002,15130336.13363976
2016-01-27,btc,1.3020216,15134211.13363768
2016-01-28,btc,1.25165178,15137861.13363757
2016-01-29,btc,1.2534027,15142086.13331554
2016-01-30,btc,1.24726247,15146761.13329498
2016-01-31,btc,1.21190019,15151286.13329493
2016-02-01,btc,1.23041296,15155311.13329469
2016-02-02,btc,1.236387,15159811.13323951
2016-02-03,btc,1.22129665,15164286.13323562
2016-02-04,btc,1.29128531,15168486.13323537
2016-02-05,btc,1.27387646,15173186.13321332
2016-02-06,btc,1.24218056,15178186.13321324
2016-02-07,btc,1.24380766,15182586.13321261
2016-02-08,btc,1.23006764,15186286.13321241
2016-02-09,btc,1.23955252,15190686.13321208
2016-02-10,btc,1.25743769,15194786.13321104
2016-02-11,btc,1.25239109,15199586.13319756
2016-02-12,btc,1.26735993,15203861.13319725
2016-02-13,btc,1.29090383,15207761.13319695
2016-02-14,btc,1.34395157,15211911.13319691
2016-02-15,btc,1.32080872,15215711.13319645
2016-02-16,btc,1.34439265,15219161.13319615
2016-02-17,btc,1.36891644,15223036.13317928
2016-02-18,btc,1.387065,15227261.13317911
2016-02-19,btc,1.37990407,15230886.13317875
2016-02-20,btc,1.44479793,15234636.13317828
2016-02-21,btc,1.43896168,15237836.13317822
2016-02-22,btc,1.43388713,15241011.13317801
2016-02-23,btc,1.37701655,15244411.13317739
2016-02-24,btc,1.38888584,15247361.13317653
2016-02-25,btc,1.38869889,15251236.13279608
2016-02-26,btc,1.4125491,15254736.13247588
2016-02-27,btc,1.41577688,15258411.13247562
2016-02-28,btc,1.41489813,15261761.13247535
2016-02-29,btc,1.42718873,15265086.13247483
2016-03-01,btc,1.40836687,15268611.13247454
2016-03-02,btc,1.37665947,15272536.13237389
2016-03-03,btc,1.36370699,15275911.1323733
2016-03-04,btc,1.32762119,15279786.11391517
2016-03-05,btc,1.29300875,15283536.11391432
2016-03-06,btc,1.31351951,15287236.11391378
2016-03-07,btc,1.34309201,15290561.11391307
2016-03-08,btc,1.33712484,15294411.11390712
2016-03-09,btc,1.3411659,15298611.11390652
2016-03-10,btc,1.35270133,15302486.11387569
2016-03-11,btc,1.36229072,15306486.11387504
2016-03-12,btc,1.33231582,15310086.11387486
2016-03-13,btc,1.33700014,15313411.11385472
2016-03-14,btc,1.34667706,15317211.11385454
2016-03-15,btc,1.34702813,15321236.11385364
2016-03-16,btc,1.3520056,15325036.1138526
2016-03-17,btc,1.35638731,15328561.11359194
2016-03-18,btc,1.32505057,15331961.11358966
2016-03-19,btc,1.32598423,15335361.11357959
2016-03-20,btc,1.33522284,15339011.11355934
2016-03-21,btc,1.33302131,15342486.113559
2016-03-22,btc,1.34807127,15346186.11350809
2016-03-23,btc,1.35020487,15349911.11350743
2016-03-24,btc,1.33729801,15353586.11350703
2016-03-25,btc,1.34555077,15357236.11350662
2016-03-26,btc,1.34628144,15361061.11350654
2016-03-27,btc,1.37287033,15364586.11350649
2016-03-28,btc,1.36375683,15368836.11103397
2016-03-29,btc,1.3408893,15372761.11101347
2016-03-30,btc,1.3308193,15376436.11101238
2016-03-31,btc,1.34039332,15379536.11101189
2016-04-01,btc,1.3439179,15383361.11101152
2016-04-02,btc,1.35165651,15386836.11100266
2016-04-03,btc,1.35223224,15390386.11100263
2016-04-04,btc,1.35014818,15394536.11100255
2016-04-05,btc,1.35890201,15398411.11100242
2016-04-06,btc,1.35566372,15402336.11099215
2016-04-07,btc,1.35117853,15405811.11093126
2016-04-08,btc,1.34214463,15409411.11040104
2016-04-09,btc,1.34233375,15413461.11036093
2016-04-10,btc,1.35084023,15417786.11036084
2016-04-11,btc,1.35449753,15421611.11036076
2016-04-12,btc,1.36654458,15425311.11036026
2016-04-13,btc,1.35807492,15429411.11036009
2016-04-14,btc,1.36084658,15433511.10858908
2016-04-15,btc,1.37555561,15436986.10858875
2016-04-16,btc,1.37971516,15440436.10858863
2016-04-17,btc,1.37038391,15444386.10858858
2016-04-18,btc,1.37101446,15447736.1085881
2016-04-19,btc,1.39507656,15451486.10858544
2016-04-20,btc,1.41003606,15455611.10854901
2016-04-21,btc,1.43844551,15459386.10853941
2016-04-22,btc,1.42445756,15462961.10853681
2016-04-23,btc,1.44126699,15466561.10853654
2016-04-24,btc,1.46984701,15469861.10853271
2016-04-25,btc,1.47288881,15473036.10852984
2016-04-26,btc,1.48393742,15476811.10768392
2016-04-27,btc,1.40953828,15480036.10767344
2016-04-28,btc,1.4252343,15483411.10767311
2016-04-29,btc,1.44285983,15487361.10764661
2016-04-30,btc,1.42025882,15491011.10764657
2016-05-01,btc,1.43481218,15494886.10763954
2016-05-02,btc,1.40306525,15498811.10763895
2016-05-03,btc,1.42352585,15502586.10763859
2016-05-04,btc,1.41279571,15506761.10568555
2016-05-05,btc,1.41534562,15510636.1056852
2016-05-06,btc,1.45231269,15514686.10568457
2016-05-07,btc,1.45028008,15518436.10568453
2016-05-08,btc,1.44965118,15522636.10568446
2016-05-09,btc,1.45525025,15526911.10568239
2016-05-10,btc,1.41626148,15530861.10568231
2016-05-11,btc,1.42414735,15534186.10567516
2016-05-12,btc,1.42876187,15537661.10567268
2016-05-13,btc,1.43336991,15541461.10567254
2016-05-14,btc,1.43505829,15545061.10567245
2016-05-15,btc,1.44303466,15548536.1056724
2016-05-16,btc,1.42545539,15552061.10567182
2016-05-17,btc,1.41546718,15555586.10565159
2016-05-18,btc,1.41776705,15559411.1056484
2016-05-19,btc,1.36583656,15562411.10542638
2016-05-20,btc,1.37946798,15566136.10542637
2016-05-21,btc,1.38433791,15569661.10542637
2016-05-22,btc,1.37324466,15574261.10542637
2016-05-23,btc,1.38378129,15578761.1054163
2016-05-24,btc,1.38792754,15582436.10541627
2016-05-25,btc,1.40185071,15585886.10541622
2016-05-26,btc,1.41287581,15589261.10541617
2016-05-27,btc,1.46115986,15592736.10541607
2016-05-28,btc,1.63473944,15596061.10541607
2016-05-29,btc,1.61944736,15599736.10541607
2016-05-30,btc,1.63256643,15603336.10541601
2016-05-31,btc,1.62098355,15606511.10541596
2016-06-01,btc,1.63749336,15610086.10541191
2016-06-02,btc,1.63594156,15613536.10518488
2016-06-03,btc,1.72607424,15617086.10507888
2016-06-04,btc,1.73508921,15620061.10497886
2016-06-05,btc,1.73449123,15624311.10497886
2016-06-06,btc,1.76124697,15628561.10497868
2016-06-07,btc,1.73648602,15632061.10491857
2016-06-08,btc,1.74643017,15635661.10491854
2016-06-09,btc,1.7262705,15639786.10476847
2016-06-10,btc,1.73124783,15643386.1047584
2016-06-11,btc,1.80308386,15647286.1047584
2016-06-12,btc,1.97978904,15650936.10475839
2016-06-13,btc,2.05438766,15654961.10475837
2016-06-14,btc,1.99146107,15658261.10475831
